group,tot_state_pop,top_states,state1,state2,state3,state4,state5
US Total,39557045,"California, Texas, Florida, New York, Pennsylvania",39557045,28701845,21299325,19542209,12807060
Asian American,5821585,"California, New York, Texas, New Jersey, Illinois",5821585,1666113,1430857,868213,717938
Pacific Islander,155739,"California, Hawaii, Washington, Utah, Texas",155739,144971,53924,29362,21463
Asian Indian,815948,"California, Texas, New Jersey, New York, Illinois",815948,452598,387244,379439,256122
Bangladeshi,93040,"New York, California, Texas, New Jersey, Michigan",93040,13497,13442,11600,11307
Burmese,22429,"Texas, Indiana, New York, California, Minnesota",22429,17960,15303,13507,11782
Cambodian,82765,"California, Massachusetts, Washington, Pennsylvania, Texas",82765,27572,20437,13022,9993
Chinese,1542802,"California, New York, Texas, Massachusetts, New Jersey",1542802,689449,215366,176164,148003
Fijian,27420,"California, Washington, Utah, Oregon, Florida",27420,3635,1669,1087,865
Filipino,1299922,"California, Hawaii, Texas, Nevada, Illinois",1299922,220315,146320,129739,124649
Hmong,105009,"California, Minnesota, Wisconsin, North Carolina, Georgia",105009,82778,51089,13241,6478
Japanese,279888,"California, Hawaii, New York, Washington, Texas",279888,163174,38853,38846,24311
Korean,470112,"California, New York, New Jersey, Texas, Virginia",470112,123507,99165,80649,73411
Laotian,60894,"California, Texas, Minnesota, Washington, Florida",60894,18102,10254,9015,8168
Native Hawaiian,91442,"Hawaii, California, Washington, Oregon, Texas",91442,22294,7135,6114,6038
Nepalese,20684,"Texas, California, New York, Ohio, Pennsylvania",20684,16494,16054,11074,10891
Pakistani,73209,"New York, California, Texas, Illinois, New Jersey",73209,72534,67368,39236,31529
Samoan,40179,"California, Washington, Hawaii, Utah, Texas",40179,15187,11237,8386,5748
Taiwanese,74682,"California, Texas, New York, Washington, New Jersey",74682,17731,15598,9594,5444
Thai,51554,"California, New York, Texas, Florida, Virginia",51554,15257,14116,12622,8180
Tongan,19012,"California, Utah, Hawaii, Oregon, Washington",19012,10569,4754,749,334
Vietnamese,674243,"California, Texas, Washington, Florida, Virginia",674243,267996,84125,72431,68558
